1,YayasanLBHIndonesia,"Ini catatan YLBHI untuk 100 Hari Prabowo-Gibran.

#100HariPrabowo #MenghancurkanDemokrasi https://t.co/NXwSlr1xmn",Tue Jan 21 04:03:22 +0000 2025,390,711
1,YayasanLBHIndonesia,"Di #100hariprabowo,  PPn rencananya dinaikan tapi tak jadi naik setelah banyaknya aksi penolakan diberbagai tempat.

Eh sekarang muncul lagi masalah baru:

Tukin dosen ASN tak diberikan ✅
LPG 3 kg ditarik dari peredaran✅
Efisiensi anggaran PNS yang tak jelas alasan https://t.co/SgHPvmGieo",Tue Feb 04 00:20:12 +0000 2025,7250,12565
2,@KenapaHarusPeduli 🍉,"Bendera #PeringatanDarurat naik lagi, #IndonesiaGelap:

Ada banyak kebijakan di 100 hari pertama Prabowo-Gibran yang dianggap bermasalah:

- Wacana pemotongan anggaran, sektor pendidikan dan kesehatan jadi program prioritas pendukung, bukan yang utama.
- ⁠Program makan bergizi https://t.co/CJ3iY5U17T",Tue Feb 04 13:48:57 +0000 2025,921,1619
3,YayasanLBHIndonesia,"Ini catatan YLBHI untuk 100 Hari Prabowo-Gibran.

#100HariPrabowo #MenghancurkanDemokrasi https://t.co/NXwSlr1xmn",Tue Jan 21 04:03:22 +0000 2025,390,711
4,ֺ𝕮𝕳𝕬𝕰𝖅,"Prestasi 100 Hari Kerja Kabinet Pemerintah Prabowo 

LUAR BIASA ""KONYOLNYA"" https://t.co/WYEwDi2JGi",Sat Dec 28 06:29:29 +0000 2024,106,241
5,ilham wahyu s,"Baru 100 hari kabinet merah putih prabowo - gibran sudah meresahkan rakyat dan #IndonesiaGelap 

- mau MBG mesti sekolah, tapi sekolah mahal
- mestinya pendidikan gratis baru makan bergizi gratis
- efisiensi tapi kabinet gemoy ndasmu

Geruduk istana negara #daruratindonesia https://t.co/CofPNlR5rs",Mon Feb 17 09:08:22 +0000 2025,3357,7676
6,tempo.co,"Belum 100 hari menjadi presiden, Prabowo Subianto membuat banyak “gebrakan”. 

#Tempodotco #TempoPlus https://t.co/2Tbsdm9yH3",Sun Dec 22 05:45:35 +0000 2024,4178,14194
7,Zay3456,"Menteri berkinerja buruk spnjng 100 Hari Pemerintahan Prabowo Gibran:

1. Natalius Pigai,menteri HAM
2. Budi Arie Setiadi,menteri kooperasi
3. Bahlil Lahadalia,menteri ESDM
4. Raja Juli Antoni,menteri kehutanan
5. Yandri Susanto,menteri desa

Sumber:CELIOS

#PrabowoMabokKekuasaan https://t.co/O0dyQdo6uT",Wed Feb 19 11:15:54 +0000 2025,127,240
8,Kuray,"Para Elite² Politik dengan Jumawa kembali menggadang² Prabowo sebagai Capres di 2029,
Sementara di Pemerintahan Prabowo yg baru berumur 100 hari saja ,
Aksi Demo sudah terjadi dimana².
Seperti yg terjadi hari ini,
Aksi INDONESIA GELAP Meledak di Berbagai Daerah. https://t.co/F9zk8Vttmx",Mon Feb 17 13:14:51 +0000 2025,5842,17922
9,Big Alpha,Bukti nyata kinerja 100 Hari Prabowo - Gibran https://t.co/RRMQOoZHbo,Sat Feb 01 10:44:47 +0000 2025,154,644
